      Time                Qrx             Qth             Qtrans           Flowv              Pp               Px             PxIND            PRZLVL         PRZLVLIND         VelSRG            QHTRP            QHTRB         SCV Position      Spray GPM           THL            THL Ind            TCL            TCL Ind          TaveREF           Tave            Tave Ind          Tmod           Flow SFWS         Flow FD        Flow FD Ind         Demand         Steam Flow     Steam Flow Ind       Wload            Wturb           Omega FP        Texit SG 1      Texit SG IND     SG Exit Void       Dryout 1        SGLVL Ind           Trx            TCL Hot           MDNBR            Tfeed           TfeedIND          Qsteam            PSG             PSG Ind           Pimp          DeltaP SG      DeltaP SG IND     DP elev SG         Deltat             rho             rhoX              FCV              FBV             SFWV             TCV 1            TCV 2            TCV 3            TCV 4            TBV 1            TBV 2            TBV 3            TBV 4            BANK A           BANK B           BANK C           BANK D           RhoCBA           RhoCBB           RhoCBC           RhoCBD          TESLoad       TESFlowDemand       FlowAUX1         FlowAUX2         FlowAUX3           PTAP           Tsat Tap          PTES           TES_TBV(1)       TES_TBV(2)       TES_TBV(3)       TES_TBV(4)
   .00000000E+00    .18739540E+03    .20065380E+03    .19511960E+03    .54542090E+07    .20505630E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.35122000E-02    .18267580E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544850E+03    .62544850E+03    .53010380E+03    .53010380E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .85244520E+05    .85244520E+05    .85243520E+05    .85241390E+05    .85241410E+05    .45000000E+02    .44999180E+02    .31397140E+04    .60632560E+03    .60632560E+03    .10000000E+01    .59807650E+02    .10521050E+02    .87198750E+03    .17985420E+04    .33966930E+01    .29426990E+03    .29426990E+03    .20114440E+03    .82499960E+03    .82499960E+03    .88427660E+02    .34875560E+01    .34875560E+01    .32411510E+01    .30000000E+00    .46802780E-07    .55222050E-05    .72587660E+00    .00000000E+00    .00000000E+00    .54155080E+00    .54155080E+00    .54155080E+00    .54155080E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53373070E+01    .16489560E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30000000E+00    .18739540E+03    .20065380E+03    .19512000E+03    .54542110E+07    .20505640E+04    .20501610E+04    .20501610E+04    .50104050E+02    .50104050E+02   -.40772060E-02    .18225330E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544860E+03    .62544860E+03    .53010370E+03    .53010370E+03    .57799980E+03    .57777610E+03    .57777610E+03    .57777610E+03    .00000000E+00    .84989010E+05    .84989010E+05    .72214460E+05    .85255580E+05    .85255580E+05    .38250000E+02    .45003690E+02    .31397140E+04    .60623950E+03    .60623950E+03    .10000000E+01    .59807380E+02    .10516850E+02    .87198750E+03    .17985420E+04    .33966860E+01    .29426810E+03    .29426810E+03    .20114340E+03    .82499600E+03    .82499600E+03    .88444240E+02    .34861650E+01    .34861650E+01    .32410480E+01    .40805070E-01    .44153910E-07    .55195560E-05    .72333130E+00    .00000000E+00    .00000000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .54155000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53381820E+01    .16490260E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10348230E+01    .18739450E+03    .20065290E+03    .19511920E+03    .54541720E+07    .20505710E+04    .20501680E+04    .20501680E+04    .50104230E+02    .50104230E+02    .54068050E-02    .18122550E+02    .00000000E+00    .00000000E+00    .97341840E+00    .62544870E+03    .62544870E+03    .53010370E+03    .53010370E+03    .57798350E+03    .57777620E+03    .57777620E+03    .57777620E+03    .00000000E+00    .84245850E+05    .84245850E+05    .72070910E+05    .85194130E+05    .85194130E+05    .38250000E+02    .44954080E+02    .31393110E+04    .60613350E+03    .60613350E+03    .10000000E+01    .59805140E+02    .10503830E+02    .87198740E+03    .17985420E+04    .33967000E+01    .29419220E+03    .29419220E+03    .20082170E+03    .82499510E+03    .82499510E+03    .88301850E+02    .34818510E+01    .34818510E+01    .32404480E+01    .40841930E-01    .21188530E-07    .55199940E-05    .71621480E+00    .00000000E+00    .00000000E+00    .54129570E+00    .54129570E+00    .54129570E+00    .54129570E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53306710E+01    .16484190E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .20151660E+01    .18738930E+03    .20064770E+03    .19511640E+03    .54538900E+07    .20505920E+04    .20501890E+04    .20501890E+04    .50104900E+02    .50104900E+02    .16586680E-01    .17980010E+02    .00000000E+00    .00000000E+00    .97341810E+00    .62544950E+03    .62544950E+03    .53010370E+03    .53010370E+03    .57798480E+03    .57777660E+03    .57777660E+03    .57777660E+03    .00000000E+00    .83274820E+05    .83274820E+05    .71930050E+05    .85205370E+05    .85205370E+05    .38250000E+02    .44947400E+02    .31383520E+04    .60590450E+03    .60590450E+03    .10000000E+01    .59802760E+02    .10483590E+02    .87198680E+03    .17985390E+04    .33967050E+01    .29419850E+03    .29419850E+03    .20052780E+03    .82499640E+03    .82499640E+03    .88290150E+02    .34751410E+01    .34751410E+01    .32385260E+01    .40852780E-01   -.14165430E-06    .55199930E-05    .70727980E+00    .00000000E+00    .00000000E+00    .54129980E+00    .54129980E+00    .54129980E+00    .54129980E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53300540E+01    .16483690E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30366690E+01    .18736950E+03    .20062780E+03    .19510930E+03    .54532870E+07    .20506220E+04    .20502200E+04    .20502200E+04    .50106130E+02    .50106130E+02    .28149480E-01    .17816180E+02    .00000000E+00    .00000000E+00    .97341780E+00    .62545260E+03    .62545260E+03    .53010380E+03    .53010380E+03    .57798260E+03    .57777820E+03    .57777820E+03    .57777820E+03    .00000000E+00    .82304440E+05    .82304440E+05    .71783440E+05    .85217370E+05    .85217370E+05    .38250000E+02    .44939610E+02    .31370450E+04    .60565090E+03    .60565090E+03    .10000000E+01    .59795810E+02    .10459350E+02    .87198260E+03    .17985240E+04    .33967080E+01    .29418820E+03    .29418820E+03    .20021400E+03    .82500020E+03    .82500020E+03    .88275870E+02    .34671010E+01    .34671010E+01    .32351750E+01    .40865200E-01   -.71097010E-06    .55199860E-05    .69862020E+00    .00000000E+00    .00000000E+00    .54127820E+00    .54127820E+00    .54127820E+00    .54127820E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53293000E+01    .16483080E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .40175740E+01    .18733760E+03    .20059570E+03    .19509710E+03    .54524660E+07    .20506710E+04    .20502700E+04    .20502700E+04    .50108250E+02    .50108250E+02    .37848950E-01    .17635170E+02    .00000000E+00    .00000000E+00    .97341760E+00    .62545740E+03    .62545740E+03    .53010400E+03    .53010400E+03    .57797990E+03    .57778070E+03    .57778070E+03    .57778070E+03    .00000000E+00    .81424050E+05    .81424050E+05    .71642770E+05    .85229340E+05    .85229340E+05    .38250000E+02    .44930960E+02    .31356650E+04    .60538230E+03    .60538230E+03    .10000000E+01    .59782220E+02    .10433380E+02    .87197210E+03    .17984810E+04    .33967510E+01    .29417590E+03    .29417590E+03    .19989870E+03    .82499690E+03    .82499690E+03    .88260120E+02    .34584970E+01    .34584970E+01    .32307210E+01    .40878300E-01   -.15417600E-05    .55199750E-05    .69089560E+00    .00000000E+00    .00000000E+00    .54124560E+00    .54124560E+00    .54124560E+00    .54124560E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53284690E+01    .16482410E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .50397250E+01    .18729260E+03    .20055020E+03    .19507540E+03    .54513800E+07    .20508370E+04    .20504340E+04    .20504340E+04    .50113750E+02    .50113750E+02    .41215220E-01    .17368600E+02    .00000000E+00    .00000000E+00    .97341640E+00    .62546380E+03    .62546380E+03    .53010460E+03    .53010460E+03    .57797640E+03    .57778420E+03    .57778420E+03    .57778420E+03    .00000000E+00    .80560670E+05    .80560670E+05    .71496470E+05    .85230290E+05    .85230290E+05    .38250000E+02    .44917730E+02    .31342000E+04    .60516380E+03    .60516380E+03    .10000000E+01    .59764170E+02    .10403840E+02    .87195140E+03    .17983960E+04    .33969620E+01    .29415960E+03    .29415960E+03    .19955230E+03    .82499810E+03    .82499810E+03    .88228770E+02    .34487030E+01    .34487030E+01    .32248760E+01    .40893400E-01   -.26000320E-05    .55199590E-05    .68342020E+00    .00000000E+00    .00000000E+00    .54119630E+00    .54119630E+00    .54119630E+00    .54119630E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53268160E+01    .16481070E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .60213270E+01    .18723840E+03    .20049540E+03    .19504720E+03    .54501160E+07    .20510590E+04    .20506560E+04    .20506560E+04    .50120610E+02    .50120610E+02    .48131840E-01    .16957590E+02    .00000000E+00    .00000000E+00    .97341530E+00    .62547080E+03    .62547080E+03    .53010600E+03    .53010600E+03    .57797240E+03    .57778840E+03    .57778840E+03    .57778840E+03    .00000000E+00    .79785300E+05    .79785300E+05    .71356200E+05    .85232430E+05    .85232430E+05    .38250000E+02    .44905730E+02    .31328230E+04    .60495100E+03    .60495100E+03    .10000000E+01    .59739070E+02    .10373330E+02    .87192070E+03    .17982670E+04    .33972920E+01    .29414060E+03    .29414060E+03    .19920980E+03    .82499600E+03    .82499600E+03    .88201130E+02    .34385920E+01    .34385920E+01    .32181810E+01    .40907340E-01   -.37841050E-05    .55199400E-05    .67675250E+00    .00000000E+00    .00000000E+00    .54114310E+00    .54114310E+00    .54114310E+00    .54114310E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53253580E+01    .16479890E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .70033980E+01    .18717600E+03    .20043230E+03    .19501020E+03    .54486270E+07    .20513340E+04    .20509310E+04    .20509310E+04    .50128770E+02    .50128770E+02    .60737050E-01    .16357230E+02    .00000000E+00    .00000000E+00    .97341430E+00    .62547800E+03    .62547800E+03    .53010840E+03    .53010840E+03    .57796310E+03    .57779320E+03    .57779320E+03    .57779320E+03    .00000000E+00    .79061700E+05    .79061700E+05    .71216300E+05    .85195480E+05    .85195480E+05    .38250000E+02    .44868860E+02    .31314930E+04    .60477360E+03    .60477360E+03    .10000000E+01    .59691840E+02    .10341080E+02    .87187930E+03    .17980870E+04    .33977710E+01    .29409710E+03    .29409710E+03    .19880260E+03    .82498650E+03    .82498650E+03    .88099540E+02    .34279050E+01    .34279050E+01    .32105140E+01    .40937150E-01   -.50391020E-05    .55199180E-05    .67054240E+00    .00000000E+00    .00000000E+00    .54097570E+00    .54097570E+00    .54097570E+00    .54097570E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53199990E+01    .16475550E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .80274930E+01    .18709760E+03    .20035290E+03    .19496200E+03    .54467540E+07    .20516960E+04    .20512930E+04    .20512930E+04    .50139080E+02    .50139080E+02    .75493280E-01    .15556580E+02    .00000000E+00    .00000000E+00    .97341330E+00    .62548680E+03    .62548680E+03    .53011190E+03    .53011190E+03    .57793730E+03    .57779930E+03    .57779930E+03    .57779930E+03    .00000000E+00    .78358120E+05    .78358120E+05    .71071700E+05    .85074740E+05    .85074740E+05    .38250000E+02    .44778760E+02    .31301650E+04    .60467620E+03    .60467620E+03    .10000000E+01    .59605020E+02    .10306060E+02    .87182390E+03    .17978430E+04    .33984300E+01    .29397640E+03    .29397640E+03    .19823520E+03    .82497080E+03    .82497080E+03    .87839200E+02    .34163060E+01    .34163060E+01    .32016430E+01    .40988470E-01   -.65721470E-05    .55198900E-05    .66451780E+00    .00000000E+00    .00000000E+00    .54052590E+00    .54052590E+00    .54052590E+00    .54052590E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .11088130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.95232620E-04    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .53062650E+01    .16464410E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
