      Time                Qrx             Qth             Qtrans           Flowv              Pp               Px             PxIND            PRZLVL         PRZLVLIND         VelSRG            QHTRP            QHTRB         SCV Position      Spray GPM           THL            THL Ind            TCL            TCL Ind          TaveREF           Tave            Tave Ind          Tmod           Flow SFWS         Flow FD        Flow FD Ind         Demand         Steam Flow     Steam Flow Ind       Wload            Wturb           Omega FP        Texit SG 1      Texit SG IND     SG Exit Void       Dryout 1        SGLVL Ind           Trx            TCL Hot           MDNBR            Tfeed           TfeedIND          Qsteam            PSG             PSG Ind           Pimp          DeltaP SG      DeltaP SG IND     DP elev SG         Deltat             rho             rhoX              FCV              FBV             SFWV             TCV 1            TCV 2            TCV 3            TCV 4            TBV 1            TBV 2            TBV 3            TBV 4            BANK A           BANK B           BANK C           BANK D           RhoCBA           RhoCBB           RhoCBC           RhoCBD          TESLoad       TESFlowDemand       FlowAUX1         FlowAUX2         FlowAUX3           PTAP           Tsat Tap          PTES           TES_TBV(1)       TES_TBV(2)       TES_TBV(3)       TES_TBV(4)
   .00000000E+00    .49280510E+03    .53005420E+03    .51544780E+03    .30017270E+08    .20503950E+04    .20499920E+04    .20499920E+04    .56051590E+02    .56051590E+02    .40799440E-02    .10454690E+02    .00000000E+00    .00000000E+00    .99897480E+00    .61062820E+03    .61062820E+03    .56555770E+03    .56555770E+03    .58799980E+03    .58809290E+03    .58809290E+03    .58809290E+03    .00000000E+00    .26620380E+06    .26620380E+06    .26620030E+06    .26620220E+06    .26620210E+06    .18000000E+03    .17999760E+03    .37085300E+04    .57138360E+03    .57138360E+03    .10000000E+01    .63926060E+02    .13776410E+02    .98539270E+03    .24602000E+04    .31335700E+01    .41394210E+03    .41394210E+03    .53205740E+03    .82499680E+03    .82499680E+03    .80193760E+03    .45666570E+01    .45666570E+01    .23650610E+01    .30000000E+00   -.10037020E-06    .20411300E-03    .78453070E+00    .00000000E+00    .00000000E+00    .81051150E+00    .81051150E+00    .81051150E+00    .81051150E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42975920E+02    .27183320E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30000000E+00    .49280360E+03    .53005270E+03    .51545220E+03    .30017270E+08    .20503940E+04    .20499920E+04    .20499920E+04    .56051580E+02    .56051580E+02   -.36510710E-02    .10456800E+02    .00000000E+00    .00000000E+00    .99897470E+00    .61062840E+03    .61062840E+03    .56555760E+03    .56555760E+03    .58799980E+03    .58809300E+03    .58809300E+03    .58809300E+03    .00000000E+00    .26563840E+06    .26563840E+06    .18583890E+06    .26620340E+06    .26620340E+06    .12568140E+03    .17999680E+03    .37085300E+04    .57137230E+03    .57137230E+03    .10000000E+01    .63925060E+02    .13751650E+02    .98539190E+03    .24601980E+04    .31335400E+01    .41394140E+03    .41394140E+03    .53205740E+03    .82498450E+03    .82498450E+03    .80192850E+03    .45584580E+01    .45584580E+01    .23648330E+01    .13951570E-01   -.15687330E-06    .20410530E-03    .77941010E+00    .00000000E+00    .00000000E+00    .81050530E+00    .81050530E+00    .81050530E+00    .81050530E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42976110E+02    .27183340E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10115900E+01    .49280500E+03    .53005410E+03    .51544180E+03    .30017250E+08    .20503990E+04    .20499960E+04    .20499960E+04    .56051630E+02    .56051630E+02   -.59423420E-03    .10460060E+02    .00000000E+00    .00000000E+00    .99897470E+00    .61062820E+03    .61062820E+03    .56555770E+03    .56555770E+03    .58799900E+03    .58809300E+03    .58809300E+03    .58809300E+03    .00000000E+00    .26489540E+06    .26489540E+06    .18494820E+06    .26621950E+06    .26621950E+06    .12568140E+03    .17998790E+03    .37049910E+04    .57125510E+03    .57125510E+03    .10000000E+01    .63928420E+02    .13717660E+02    .98539070E+03    .24601920E+04    .31336170E+01    .41393580E+03    .41393580E+03    .53196500E+03    .82496240E+03    .82496240E+03    .80185960E+03    .45472070E+01    .45472070E+01    .23639270E+01    .13953610E-01   -.98745200E-07    .20410580E-03    .77669250E+00    .00000000E+00    .00000000E+00    .80990700E+00    .80990700E+00    .80990700E+00    .80990700E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42972480E+02    .27182830E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .20023780E+01    .49279440E+03    .53004330E+03    .51544140E+03    .30017210E+08    .20504100E+04    .20500080E+04    .20500080E+04    .56051880E+02    .56051880E+02    .18708230E-01    .10458300E+02    .00000000E+00    .00000000E+00    .99897500E+00    .61062850E+03    .61062850E+03    .56555810E+03    .56555810E+03    .58799870E+03    .58809330E+03    .58809330E+03    .58809330E+03    .00000000E+00    .26386950E+06    .26386950E+06    .18406380E+06    .26622680E+06    .26622680E+06    .12568140E+03    .17997630E+03    .37003410E+04    .57116820E+03    .57116820E+03    .10000000E+01    .63912170E+02    .13670270E+02    .98538870E+03    .24601770E+04    .31336380E+01    .41393400E+03    .41393400E+03    .53178490E+03    .82496760E+03    .82496760E+03    .80175490E+03    .45314930E+01    .45314930E+01    .23614580E+01    .13955820E-01   -.21199460E-06    .20410580E-03    .77290920E+00    .00000000E+00    .00000000E+00    .80910250E+00    .80910250E+00    .80910250E+00    .80910250E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42966960E+02    .27182040E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .30072350E+01    .49278060E+03    .53002940E+03    .51543550E+03    .30017090E+08    .20504260E+04    .20500220E+04    .20500220E+04    .56052520E+02    .56052520E+02    .12288800E-01    .10446440E+02    .00000000E+00    .00000000E+00    .99897580E+00    .61062840E+03    .61062840E+03    .56555920E+03    .56555920E+03    .58799540E+03    .58809380E+03    .58809380E+03    .58809380E+03    .00000000E+00    .26287550E+06    .26287550E+06    .18316720E+06    .26617820E+06    .26617820E+06    .12568140E+03    .17993720E+03    .36956810E+04    .57115360E+03    .57115360E+03    .10000000E+01    .63849850E+02    .13624590E+02    .98538480E+03    .24601580E+04    .31336840E+01    .41391260E+03    .41391260E+03    .53144790E+03    .82488040E+03    .82488040E+03    .80154360E+03    .45164220E+01    .45164220E+01    .23576110E+01    .13956950E-01   -.34587490E-06    .20410580E-03    .76907250E+00    .00000000E+00    .00000000E+00    .80743330E+00    .80743330E+00    .80743330E+00    .80743330E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42955810E+02    .27180460E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .40122190E+01    .49273390E+03    .52998250E+03    .51542240E+03    .30016820E+08    .20504700E+04    .20500670E+04    .20500670E+04    .56054040E+02    .56054040E+02    .35420870E-01    .10413090E+02    .00000000E+00    .00000000E+00    .99897720E+00    .61062920E+03    .61062920E+03    .56556150E+03    .56556150E+03    .58798820E+03    .58809530E+03    .58809530E+03    .58809530E+03    .00000000E+00    .26188010E+06    .26188010E+06    .18227160E+06    .26604290E+06    .26604290E+06    .12568140E+03    .17984260E+03    .36908820E+04    .57121380E+03    .57121380E+03    .10000000E+01    .63760600E+02    .13579150E+02    .98537640E+03    .24601220E+04    .31337900E+01    .41386510E+03    .41386510E+03    .53105770E+03    .82475070E+03    .82475070E+03    .80098510E+03    .45014590E+01    .45014590E+01    .23525620E+01    .13959590E-01   -.81624190E-06    .20410580E-03    .76523330E+00    .00000000E+00    .00000000E+00    .80280200E+00    .80280200E+00    .80280200E+00    .80280200E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42926350E+02    .27176280E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .50035000E+01    .49266720E+03    .52991510E+03    .51539340E+03    .30016390E+08    .20506740E+04    .20502710E+04    .20502710E+04    .56059350E+02    .56059350E+02    .41879830E-01    .10278510E+02    .00000000E+00    .00000000E+00    .99897820E+00    .61063020E+03    .61063020E+03    .56556490E+03    .56556490E+03    .58797600E+03    .58809760E+03    .58809760E+03    .58809760E+03    .00000000E+00    .26090800E+06    .26090800E+06    .18139030E+06    .26578050E+06    .26578050E+06    .12568140E+03    .17966810E+03    .36860060E+04    .57139190E+03    .57139190E+03    .10000000E+01    .63614070E+02    .13536650E+02    .98535920E+03    .24600560E+04    .31342150E+01    .41378540E+03    .41378540E+03    .53044860E+03    .82455540E+03    .82455540E+03    .79993350E+03    .44875230E+01    .44875230E+01    .23465210E+01    .13964170E-01   -.14395950E-05    .20410580E-03    .76144580E+00    .00000000E+00    .00000000E+00    .79444060E+00    .79444060E+00    .79444060E+00    .79444060E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42870870E+02    .27168390E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .60092000E+01    .49255120E+03    .52979820E+03    .51535020E+03    .30015720E+08    .20510120E+04    .20506090E+04    .20506090E+04    .56067410E+02    .56067410E+02    .65230120E-01    .99179010E+01    .00000000E+00    .00000000E+00    .99898030E+00    .61063170E+03    .61063170E+03    .56557140E+03    .56557140E+03    .58795500E+03    .58810150E+03    .58810150E+03    .58810150E+03    .00000000E+00    .25991970E+06    .25991970E+06    .18050000E+06    .26534340E+06    .26534340E+06    .12568140E+03    .17937440E+03    .36808070E+04    .57168840E+03    .57168840E+03    .10000000E+01    .63415170E+02    .13494640E+02    .98533110E+03    .24599460E+04    .31349100E+01    .41364760E+03    .41364760E+03    .52968270E+03    .82428550E+03    .82428550E+03    .79811440E+03    .44738040E+01    .44738040E+01    .23395420E+01    .13973010E-01   -.25428820E-05    .20410580E-03    .75760140E+00    .00000000E+00    .00000000E+00    .77982670E+00    .77982670E+00    .77982670E+00    .77982670E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42774910E+02    .27154740E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .70016850E+01    .49237190E+03    .52961730E+03    .51527220E+03    .30014760E+08    .20514850E+04    .20510820E+04    .20510820E+04    .56078190E+02    .56078190E+02    .85141360E-01    .94377470E+01    .00000000E+00    .00000000E+00    .99898370E+00    .61063430E+03    .61063430E+03    .56558070E+03    .56558070E+03    .58793350E+03    .58810750E+03    .58810750E+03    .58810750E+03    .00000000E+00    .25890140E+06    .25890140E+06    .17962700E+06    .26459660E+06    .26459660E+06    .12568140E+03    .17887170E+03    .36755960E+04    .57226390E+03    .57226390E+03    .10000000E+01    .63204360E+02    .13452360E+02    .98528250E+03    .24597600E+04    .31359630E+01    .41350520E+03    .41350520E+03    .52876040E+03    .82408610E+03    .82408610E+03    .79480270E+03    .44599410E+01    .44599410E+01    .23319980E+01    .13991800E-01   -.41602680E-05    .20410580E-03    .75380460E+00    .00000000E+00    .00000000E+00    .75934370E+00    .75934370E+00    .75934370E+00    .75934370E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42600210E+02    .27129810E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .80097020E+01    .49210150E+03    .52934440E+03    .51515670E+03    .30013380E+08    .20521300E+04    .20517270E+04    .20517270E+04    .56092510E+02    .56092510E+02    .11367880E+00    .89738640E+01    .00000000E+00    .00000000E+00    .99899060E+00    .61063720E+03    .61063720E+03    .56559640E+03    .56559640E+03    .58789030E+03    .58811680E+03    .58811680E+03    .58811680E+03    .00000000E+00    .25781850E+06    .25781850E+06    .17874790E+06    .26409630E+06    .26409630E+06    .12568140E+03    .17848380E+03    .36704980E+04    .57241640E+03    .57241640E+03    .10000000E+01    .63001010E+02    .13405730E+02    .98520370E+03    .24594550E+04    .31374440E+01    .41321840E+03    .41321840E+03    .52771140E+03    .82403050E+03    .82403050E+03    .79211430E+03    .44445240E+01    .44445240E+01    .23237820E+01    .14012780E-01   -.65821550E-05    .20410580E-03    .74994270E+00    .00000000E+00    .00000000E+00    .73496540E+00    .73496540E+00    .73496540E+00    .73496540E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42458390E+02    .27109510E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .90055920E+01    .49171660E+03    .52895560E+03    .51498000E+03    .30011530E+08    .20529670E+04    .20525650E+04    .20525650E+04    .56110750E+02    .56110750E+02    .14951020E+00    .85379560E+01    .00000000E+00    .00000000E+00    .99900040E+00    .61064210E+03    .61064210E+03    .56561790E+03    .56561790E+03    .58784680E+03    .58813000E+03    .58813000E+03    .58813000E+03    .00000000E+00    .25679620E+06    .25679620E+06    .17788810E+06    .26323510E+06    .26323510E+06    .12568140E+03    .17786340E+03    .36656900E+04    .57291520E+03    .57291520E+03    .10000000E+01    .62716950E+02    .13365030E+02    .98508390E+03    .24589870E+04    .31395200E+01    .41292800E+03    .41292800E+03    .52628320E+03    .82392650E+03    .82392650E+03    .78788140E+03    .44311120E+01    .44311120E+01    .23152380E+01    .14042190E-01   -.98887960E-05    .20410570E-03    .74611980E+00    .00000000E+00    .00000000E+00    .70966880E+00    .70966880E+00    .70966880E+00    .70966880E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .42235100E+02    .27077440E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .10003870E+02    .49119060E+03    .52842410E+03    .51472270E+03    .30009050E+08    .20540390E+04    .20536360E+04    .20536360E+04    .56133770E+02    .56133770E+02    .18013720E+00    .81222550E+01    .00000000E+00    .00000000E+00    .99901530E+00    .61064810E+03    .61064810E+03    .56564840E+03    .56564840E+03    .58779060E+03    .58814830E+03    .58814830E+03    .58814830E+03    .00000000E+00    .25573350E+06    .25573350E+06    .17703780E+06    .26215860E+06    .26215860E+06    .12568140E+03    .17709180E+03    .36608960E+04    .57359050E+03    .57359050E+03    .10000000E+01    .62406500E+02    .13173610E+02    .98491050E+03    .24582980E+04    .31423640E+01    .41254940E+03    .41254940E+03    .52475040E+03    .82390580E+03    .82390580E+03    .78254910E+03    .43676630E+01    .43676630E+01    .23065940E+01    .14080140E-01   -.14340610E-04    .20410570E-03    .74227880E+00    .00000000E+00    .00000000E+00    .68197300E+00    .68197300E+00    .68197300E+00    .68197300E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10899920E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16057560E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .41953810E+02    .27036850E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .11005080E+02    .49044340E+03    .52766940E+03    .51437480E+03    .30005930E+08    .20553650E+04    .20549620E+04    .20549620E+04    .56161630E+02    .56161630E+02    .21380080E+00    .77256590E+01    .00000000E+00    .00000000E+00    .99903640E+00    .61065610E+03    .61065610E+03    .56568910E+03    .56568910E+03    .58773050E+03    .58817260E+03    .58817260E+03    .58817260E+03    .00000000E+00    .25464410E+06    .25464410E+06    .17619820E+06    .26099390E+06    .26099390E+06    .12568140E+03    .17624950E+03    .36564380E+04    .57432440E+03    .57432440E+03    .10000000E+01    .62057590E+02    .13134110E+02    .98466360E+03    .24573020E+04    .31460470E+01    .41213930E+03    .41213930E+03    .52299820E+03    .82401950E+03    .82401950E+03    .77663320E+03    .43544800E+01    .43544800E+01    .22979770E+01    .14124470E-01   -.20716410E-04    .20410560E-03    .73841530E+00    .00000000E+00    .00000000E+00    .65585050E+00    .65585050E+00    .65585050E+00    .65585050E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10898040E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16126060E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .41641730E+02    .26991550E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .12009580E+02    .48936380E+03    .52657840E+03    .51385470E+03    .30002060E+08    .20570280E+04    .20566250E+04    .20566250E+04    .56194080E+02    .56194080E+02    .24949170E+00    .73472210E+01    .00000000E+00    .00000000E+00    .99906470E+00    .61066330E+03    .61066330E+03    .56574270E+03    .56574270E+03    .58766460E+03    .58820300E+03    .58820300E+03    .58820300E+03    .00000000E+00    .25357590E+06    .25357590E+06    .17537030E+06    .25974580E+06    .25974580E+06    .12568140E+03    .17534230E+03    .36521560E+04    .57508720E+03    .57508720E+03    .10000000E+01    .61678530E+02    .13096550E+02    .98430000E+03    .24558440E+04    .31512730E+01    .41168520E+03    .41168520E+03    .52117360E+03    .82412230E+03    .82412230E+03    .77029000E+03    .43419510E+01    .43419510E+01    .22895200E+01    .14172780E-01   -.29774800E-04    .20410560E-03    .73452650E+00    .00000000E+00    .00000000E+00    .63225080E+00    .63225080E+00    .63225080E+00    .63225080E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10890180E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16412870E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .41307110E+02    .26942670E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .13003220E+02    .48815940E+03    .52535940E+03    .51318600E+03    .29997450E+08    .20589140E+04    .20585100E+04    .20585100E+04    .56230400E+02    .56230400E+02    .28011490E+00    .69911120E+01    .00000000E+00    .00000000E+00    .99910070E+00    .61066930E+03    .61066930E+03    .56580830E+03    .56580830E+03    .58760050E+03    .58823880E+03    .58823880E+03    .58823880E+03    .00000000E+00    .25251450E+06    .25251450E+06    .17456610E+06    .25854630E+06    .25854630E+06    .12568140E+03    .17445930E+03    .36480810E+04    .57577870E+03    .57577870E+03    .10000000E+01    .61349320E+02    .13059590E+02    .98381720E+03    .24538640E+04    .31577460E+01    .41123880E+03    .41123880E+03    .51938090E+03    .82426660E+03    .82426660E+03    .76408970E+03    .43295900E+01    .43295900E+01    .22813600E+01    .14221920E-01   -.38988650E-04    .20410550E-03    .73066770E+00    .00000000E+00    .00000000E+00    .61243430E+00    .61243430E+00    .61243430E+00    .61243430E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10882430E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16697260E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .40980030E+02    .26894580E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .14000470E+02    .48678630E+03    .52396840E+03    .51236280E+03    .29992090E+08    .20610100E+04    .20606060E+04    .20606060E+04    .56270490E+02    .56270490E+02    .30429740E+00    .66510670E+01    .00000000E+00    .26376640E-03    .10620280E+01    .61067520E+03    .61067520E+03    .56588750E+03    .56588750E+03    .58753720E+03    .58828140E+03    .58828140E+03    .58828140E+03    .00000000E+00    .25145300E+06    .25145300E+06    .17377350E+06    .25734670E+06    .25734670E+06    .12568140E+03    .17358000E+03    .36439780E+04    .57648770E+03    .57648770E+03    .10000000E+01    .61023370E+02    .12874960E+02    .98320920E+03    .24512930E+04    .31654340E+01    .41079310E+03    .41079310E+03    .51765830E+03    .82438920E+03    .82438920E+03    .75795310E+03    .42682900E+01    .42682900E+01    .22733760E+01    .14270650E-01   -.48895060E-04    .20410540E-03    .72678020E+00    .00000000E+00    .00000000E+00    .59533750E+00    .59533750E+00    .59533750E+00    .59533750E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10874630E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.16984230E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .40656310E+02    .26846670E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .15000850E+02    .48525660E+03    .52241740E+03    .51137990E+03    .29986080E+08    .20631270E+04    .20627240E+04    .20627240E+04    .56313090E+02    .56313090E+02    .32303640E+00    .63265720E+01    .00000000E+00    .58723390E-02    .23992150E+01    .61068100E+03    .61068100E+03    .56597990E+03    .56597990E+03    .58748930E+03    .58833040E+03    .58833040E+03    .58833040E+03    .00000000E+00    .25035370E+06    .25035370E+06    .17299140E+06    .25644380E+06    .25644380E+06    .12568140E+03    .17292320E+03    .36400700E+04    .57708910E+03    .57708910E+03    .10000000E+01    .60723070E+02    .12833120E+02    .98247440E+03    .24481060E+04    .31741250E+01    .41045270E+03    .41045270E+03    .51617210E+03    .82462810E+03    .82462810E+03    .75327940E+03    .42542430E+01    .42542430E+01    .22653440E+01    .14308890E-01   -.59315840E-04    .20410190E-03    .72286850E+00    .00000000E+00    .00000000E+00    .58328100E+00    .58328100E+00    .58328100E+00    .58328100E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10866830E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.17272460E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .40409760E+02    .26809980E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .16003610E+02    .48357650E+03    .52071280E+03    .51024330E+03    .29979510E+08    .20650350E+04    .20646310E+04    .20646310E+04    .56358620E+02    .56358620E+02    .34294970E+00    .60171910E+01    .00000000E+00    .18423880E-01    .53914200E+01    .61068660E+03    .61068660E+03    .56608470E+03    .56608470E+03    .58743770E+03    .58838560E+03    .58838560E+03    .58838560E+03    .00000000E+00    .24936910E+06    .24936910E+06    .17221800E+06    .25543290E+06    .25543290E+06    .12568140E+03    .17220210E+03    .36358160E+04    .57773640E+03    .57773640E+03    .10000000E+01    .60394150E+02    .12793670E+02    .98161350E+03    .24442800E+04    .31834450E+01    .41008390E+03    .41008390E+03    .51469920E+03    .82451480E+03    .82451480E+03    .74844210E+03    .42412470E+01    .42412470E+01    .22571190E+01    .14344690E-01   -.70241290E-04    .20398220E-03    .71893840E+00    .00000000E+00    .00000000E+00    .57261710E+00    .57261710E+00    .57261710E+00    .57261710E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10858980E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.17563670E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .40154590E+02    .26771800E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .17009240E+02    .48180670E+03    .51891550E+03    .50896490E+03    .29972530E+08    .20667860E+04    .20663830E+04    .20663830E+04    .56403660E+02    .56403660E+02    .30295160E+00    .57221210E+01    .00000000E+00    .36986190E-01    .98145830E+01    .61069100E+03    .61069100E+03    .56619920E+03    .56619920E+03    .58739150E+03    .58844510E+03    .58844510E+03    .58844510E+03    .00000000E+00    .24819920E+06    .24819920E+06    .17145480E+06    .25459870E+06    .25459870E+06    .12568140E+03    .17157220E+03    .36315000E+04    .57818530E+03    .57818530E+03    .10000000E+01    .60185370E+02    .12742270E+02    .98063320E+03    .24398190E+04    .31934570E+01    .40974980E+03    .40974980E+03    .51364180E+03    .82477290E+03    .82477290E+03    .74393910E+03    .42240180E+01    .42240180E+01    .22488000E+01    .14384470E-01   -.80917590E-04    .20386250E-03    .71498570E+00    .00000000E+00    .00000000E+00    .56263110E+00    .56263110E+00    .56263110E+00    .56263110E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10851130E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.17856050E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .39917040E+02    .26736090E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
   .18002380E+02    .48003660E+03    .51711560E+03    .50758980E+03    .29965480E+08    .20685650E+04    .20681610E+04    .20681610E+04    .56445800E+02    .56445800E+02    .29008260E+00    .54449210E+01    .00000000E+00    .61397150E-01    .15624780E+02    .61069320E+03    .61069320E+03    .56631840E+03    .56631840E+03    .58735940E+03    .58850570E+03    .58850570E+03    .58850570E+03    .00000000E+00    .24721540E+06    .24721540E+06    .17070840E+06    .25400760E+06    .25400760E+06    .12568140E+03    .17113660E+03    .36273810E+04    .57848540E+03    .57848540E+03    .10000000E+01    .59874920E+02    .12702070E+02    .97956620E+03    .24348400E+04    .32042400E+01    .40951660E+03    .40951660E+03    .51226480E+03    .82467870E+03    .82467870E+03    .74103400E+03    .42107620E+01    .42107620E+01    .22399030E+01    .14407390E-01   -.90610320E-04    .20374450E-03    .71107530E+00    .00000000E+00    .00000000E+00    .55733280E+00    .55733280E+00    .55733280E+00    .55733280E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .11400000E+03    .11400000E+03    .11400000E+03    .10843390E+03    .81229780E-11   -.11086840E-10   -.61160770E-11   -.18145430E-03    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .39763790E+02    .26712960E+03    .71000000E+00    .00000000E+00    .00000000E+00    .00000000E+00    .00000000E+00
