,Demand1
20200106T07-05,96946
20200106T06-05,88656
20200106T05-05,83592
20200106T04-05,82526
20200106T03-05,82532
20200106T02-05,83312
20200106T01-05,84180
20200106T00-05,86520
20200105T23-05,89844
20200105T22-05,94012
20200105T21-05,97012
20200105T20-05,97742
20200105T19-05,98057
20200105T18-05,95936
20200105T17-05,90202
20200105T16-05,87392
20200105T15-05,87496
20200105T14-05,87592
20200105T13-05,87960
20200105T12-05,88174
20200105T11-05,87944
20200105T10-05,87686
20200105T09-05,86700
20200105T08-05,84852
20200105T07-05,81917
20200105T06-05,80402
20200105T05-05,79819
20200105T04-05,78979
20200105T03-05,78422
20200105T02-05,78672
20200105T01-05,79317
20200105T00-05,82137
20200104T23-05,85068
20200104T22-05,87495
20200104T21-05,89190
20200104T20-05,90082
20200104T19-05,91019
20200104T18-05,90329
20200104T17-05,86540
20200104T16-05,84393
20200104T15-05,84081
20200104T14-05,84651
20200104T13-05,84987
20200104T12-05,85208
20200104T11-05,84453
20200104T10-05,82686
20200104T09-05,80084
20200104T08-05,77604
20200104T07-05,75256
20200104T06-05,73710
20200104T05-05,72825
20200104T04-05,72964
20200104T03-05,73883
20200104T02-05,74646
20200104T01-05,76470
20200104T00-05,79710
20200103T23-05,83009
20200103T22-05,86564
20200103T21-05,89345
20200103T20-05,91538
20200103T19-05,93423
20200103T18-05,94062
20200103T17-05,91087
20200103T16-05,89635
20200103T15-05,89973
20200103T14-05,90615
20200103T13-05,90911
20200103T12-05,91203
20200103T11-05,91187
20200103T10-05,90900
20200103T09-05,90507
20200103T08-05,89072
20200103T07-05,84601
20200103T06-05,78840
20200103T05-05,76789
20200103T04-05,76560
20200103T03-05,76671
20200103T02-05,77009
20200103T01-05,78594
20200103T00-05,82238
20200102T23-05,85980
20200102T22-05,90310
20200102T21-05,93873
20200102T20-05,96116
20200102T19-05,97826
20200102T18-05,97375
20200102T17-05,92374
20200102T16-05,90128
20200102T15-05,90291
20200102T14-05,90954
20200102T13-05,91881
20200102T12-05,93574
20200102T11-05,95785
20200102T10-05,98242
20200102T09-05,100742
20200102T08-05,100999
20200102T07-05,95890
20200102T06-05,88702
20200102T05-05,84526
20200102T04-05,83507
20200102T03-05,83300
20200102T02-05,82104
20200102T01-05,82702
20200102T00-05,84732
20200101T23-05,87261
20200101T22-05,90448
20200101T21-05,92394
20200101T20-05,92863
20200101T19-05,92670
20200101T18-05,90380
20200101T17-05,83682
20200101T16-05,80990
20200101T15-05,81203
20200101T14-05,81650
20200101T13-05,82417
20200101T12-05,82948
20200101T11-05,83313
20200101T10-05,83235
20200101T09-05,82793
20200101T08-05,82147
20200101T07-05,80341
20200101T06-05,78408
20200101T05-05,77715
20200101T04-05,77566
20200101T03-05,78096
20200101T02-05,79460
20200101T01-05,81219
20200101T00-05,83534
20191231T23-05,85226
20191231T22-05,87907
20191231T21-05,90573
20191231T20-05,93365
20191231T19-05,96028
20191231T18-05,96162
20191231T17-05,91436
20191231T16-05,88886
20191231T15-05,88771
20191231T14-05,89782
20191231T13-05,90846
20191231T12-05,91868
20191231T11-05,92042
20191231T10-05,91162
20191231T09-05,89757
20191231T08-05,87844
20191231T07-05,83753
20191231T06-05,78768
20191231T05-05,76797
20191231T04-05,76530
20191231T03-05,75962
20191231T02-05,76659
20191231T01-05,78926
20191231T00-05,82097
20191230T23-05,85242
20191230T22-05,89195
20191230T21-05,92018
20191230T20-05,93700
20191230T19-05,95082
20191230T18-05,94449
20191230T17-05,90048
20191230T16-05,88233
20191230T15-05,88178
20191230T14-05,88743
20191230T13-05,89072
20191230T12-05,89155
20191230T11-05,88515
20191230T10-05,86549
20191230T09-05,84627
20191230T08-05,82230
20191230T07-05,77264
20191230T06-05,72025
20191230T05-05,69729
20191230T04-05,69261
20191230T03-05,69743
20191230T02-05,69626
20191230T01-05,71359
20191230T00-05,74729
20191229T23-05,78210
20191229T22-05,81739
20191229T21-05,84542
20191229T20-05,86038
20191229T19-05,87259
20191229T18-05,86789
20191229T17-05,83118
20191229T16-05,80853
20191229T15-05,80547
20191229T14-05,80939
20191229T13-05,80978
20191229T12-05,80701
20191229T11-05,79886
20191229T10-05,78750
20191229T09-05,77027
20191229T08-05,75509
20191229T07-05,73435
20191229T06-05,72705
20191229T05-05,71743
20191229T04-05,72375
20191229T03-05,72843
20191229T02-05,73454
20191229T01-05,75018
20191229T00-05,77385
20191228T23-05,79949
20191228T22-05,82420
20191228T21-05,84415
20191228T20-05,85338
20191228T19-05,85857
20191228T18-05,84890
20191228T17-05,79603
20191228T16-05,77876
20191228T15-05,77760
20191228T14-05,77889
20191228T13-05,79319
20191228T12-05,80788
20191228T11-05,81900
20191228T10-05,82321
20191228T09-05,81720
20191228T08-05,79807
20191228T07-05,77288
20191228T06-05,75077
20191228T05-05,74303
20191228T04-05,73505
20191228T03-05,73534
20191228T02-05,74228
20191228T01-05,76492
20191228T00-05,79794
20191227T23-05,82320
20191227T22-05,85546
20191227T21-05,87881
20191227T20-05,89218
20191227T19-05,90458
20191227T18-05,90072
20191227T17-05,85413
20191227T16-05,83606
20191227T15-05,83893
20191227T14-05,84907
20191227T13-05,86092
20191227T12-05,87353
20191227T11-05,88219
20191227T10-05,88265
20191227T09-05,87665
20191227T08-05,85766
20191227T07-05,82185
20191227T06-05,77841
20191227T05-05,75020
20191227T04-05,74024
20191227T03-05,74878
20191227T02-05,75980
20191227T01-05,77193
20191227T00-05,79238
20191226T23-05,82669
20191226T22-05,86619
20191226T21-05,89187
20191226T20-05,90610
20191226T19-05,91601
20191226T18-05,90515
